Ticker,Total Trades,Profitable %,Gain Factor,Max Drawdown,Mean Transaction,Total Candles
CPLE6, 237, 71.31, 2.521, 38.86, 1.09, 5
TAEE11, 220, 76.35, 2.576, 14.87, 0.82, 5
VIVT3, 248, 77.42, 2.769, 13.94, 0.99, 4
ELET3, 238, 64.71, 1.165, 40.14, 0.42, 5
SLCE3, 220, 72.73, 1.701, 30.12, 0.91, 5
LREN3, 239, 69.46, 1.313, 36.13, 0.67, 5
CCRO3, 247, 70.85, 1.837, 27.18, 0.86, 5
EGIE3, 230, 70.87, 1.751, 14.22, 0.62, 5
BPAC3, 144, 69.44, 2.034, 26.99, 1.22, 4
JBSS3, 224, 71.43, 1.274, 53.8, 0.58, 5
EZTC3, 235, 68.94, 1.301, 47.51, 0.65, 5
EQTL3, 235, 73.19, 1.883, 36.45, 0.8, 5
MULT3, 251, 71.31, 1.641, 43.28, 0.89, 4
ITSA4, 234, 70.94, 1.474, 31.41, 0.54, 5
B3SA3, 233, 68.24, 1.453, 36.2, 0.79, 5
ENGI11, 216, 71.76, 1.45, 32.07, 0.6, 4
TOTS3, 234, 70.09, 1.609, 39.75, 0.9, 5
FLRY3, 240, 67.92, 1.274, 53.97, 0.57, 5
ITUB3, 250, 72.4, 1.703, 25.29, 0.56, 5 
TIMS3, 235, 67.23, 1.591, 25.99, 0.55, 5
POSI3, 235, 70.64, 1.128, 68.96, 0.73, 5
RENT3, 236, 72.88, 1.361, 55.13, 0.71, 5
PETR4, 222, 70.72, 1.446, 65.77, 0.87, 5
ARZZ3, 236, 69.07, 1.345, 33.14, 0.69, 5
UGPA3, 238, 68.07, 1.403, 43.53, 0.53, 5
SANB11, 243, 74.49, 1.578, 40.01, 0.73, 5
ENAT3, 228, 66.67, 1.434, 46.57, 1.06, 5
SANB4, 246, 77.24, 2.036, 35.64, 1.25, 5
SANB3, 234, 74.79, 1.793, 35.5, 0.99, 4
SHUL4, 233, 75.11, 1.778, 44.87, 1.34, 5
WEGE3, 226, 73.01, 1.379, 44.28, 0.59, 5
VALE3, 224, 66.96, 1.401, 46.04, 0.68, 5
CPFE3, 223, 71.75, 1.589, 43.96, 0.54, 4
BRAP4, 231, 68.4, 1.279, 51.32, 0.61, 5
NTCO3, 235, 67.23, 1.285, 31.56, 0.54, 5
PRIO3, 223, 71.75, 1.426, 72, 1.15, 5
ENEV3, 227, 70.48, 1.723, 42.14, 1.31, 4
MNPR3, 239, 76.99, 2.209, 47.55, 4.38,4
RCSL3, 211, 68.72, 1.103, 80.08, 1.73, 5
MGEL4, 230, 66.09, 1.545, 51.44, 1.85, 4
ATOM3, 215, 68.37, 1.613, 60.84, 0.93, 5
ENGI3, 194, 73.23, 2.43, 24.43, 1.66, 4
ENGI4, 223, 79.37, 4.667, 15.07, 2.54, 4
TELB4, 254, 70.87, 1.369, 47.47, 0.8, 5
OSXB3, 256, 70.31, 1.65, 37.05, 2.67, 4
CTKA4, 227, 70.48, 3.616, 41.26, 2.94, 4
MNDL3, 194, 77.84, 5.528, 32.23, 4.39, 4
INEP3, 219, 63.47, 1.161, 59.85, 1.85, 4
INEP4, 246, 71.14, 1.194, 51.56, 1.85, 4
PTNT4, 219, 78.08, 2.548, 42.63, 1.87, 4
REDE3, 166, 77.11, 6, 22.34, 2.2, 4
UCAS3, 242, 73.97, 1.964, 30.92, 1.52, 5
BIOM3, 223, 74.89, 1.425, 48.81, 1.32, 5
TRPL3, 193, 83.94, 3.439, 18.58, 1.69, 4
TRPL4, 228, 71.93, 1.859, 21.33, 0.6, 5
MTSA4, 231, 77.06, 2.411, 31.31, 1.59, 4
BMEB4, 204, 82.84, 2.683, 32.99, 1.38, 4
VULC3, 226, 70.8, 1.684, 43.9, 1.6, 5
MRVE3, 247, 67.61, 1.257, 43.14, 0.78, 5
ABCB4, 239, 68.62, 1.741, 37.98, 0.62, 5
PSSA3, 213, 68.54, 1.114, 42.2, 0.23, 5
VBBR3, 163, 70.55, 1.388, 38.79, 0.57, 5
BBSE3, 221, 66.97, 1.332, 30.43, 0.42, 5
ABEV3, 240, 72.08, 1.623, 39.99, 0.52, 5
ECOR3, 242, 66.53, 1.286, 40.46, 0.6, 5
RADL3, 220, 70.91, 1.392, 36.03, 0.56, 5
AURE3, 233, 68.67, 1.314, 31.25, 0.37, 5
DXCO3, 234, 66.67, 1.153, 48.14, 0.42, 5
HYPE3, 224, 69.64, 1.466, 28.37, 0.48, 5
ALPA3, 227, 70.48, 1.311, 51.98, 0.76, 4
SBSP3, 227, 69.6, 1.244, 47.11, 0.41, 5
PETR3, 218, 68.35, 1.356, 66.05, 0.82, 5
CRFB3, 183, 73.22, 1.227, 38.12, 0.51, 5